accession,ENSEBL,K198R_S,K198R_M,R47G,D156E,pval_K198Rs,pval_K198Rm,pval_R47G,pval_D156E
Q5T3I0,ENSG00000292251,-0.431279722,-0.843407126,-0.207175577,0.583694856,0.477603014,0.263348434,0.925707465,0.08983154
P04179,ENSG00000291237,0.81813979,0.221953438,-0.235143612,-0.249332649,0.000342847,0.220248262,0.127967612,0.108100045
P23610,ENSG00000288709,0.98069317,0.622113316,0.705740102,0.322614504,0.000551251,0.146051011,0.023915741,0.186702386
Q5JSZ5,ENSG00000288701,0.361112281,-0.472642317,-0.067370752,-0.128051393,0.002281422,0.025845268,0.807701029,0.3936742
A0A6Q8PF18,ENSG00000288637,0.267378637,0.435015363,-0.120564304,-0.27609015,0.039880517,0.016292638,0.382054936,0.099579101
A0A669KAX9,ENSG00000288564,1.500270192,0.072914939,0.02951209,0.195286102,0.005652598,0.637335353,0.849016323,0.158009839
A0A669KBH7,ENSG00000288558,-1.444875024,0.31358497,0.008807157,-0.121922849,4.43E-05,0.046973701,0.917433282,0.303291899
A0A590UK80,ENSG00000288000,1.268586646,-0.142357726,0.036403324,0.288443989,0.001541799,0.761742896,0.700529789,0.154563049
L0R819,ENSG00000286053,0.610855541,0.379138295,0.084060781,-0.135278293,0.000167813,0.006239687,0.203052574,0.226208701
A0A3B3ISV5,ENSG00000285942,0.232733054,0.011851119,-0.017464895,-0.177177519,0.058858571,0.926333804,0.748018395,0.154973526
A0A3B3ITX4,ENSG00000285827,0.31007917,-0.143304729,-0.143411875,-0.100337854,0.07805308,0.109238688,0.20383423,0.149718276
A0A3B3ITS5,ENSG00000285816,2.163717016,-0.589703659,-0.06363018,0.442646315,6.09E-05,0.397615641,0.912142937,0.163269317
Q9HB66,ENSG00000285723,2.585999929,0.599787128,0.256103107,0.506448188,0.000440774,0.061157857,0.294921127,0.207531036
A0A2R8Y600,ENSG00000285382,0.399961626,1.325706436,1.5214551,0.562435415,0.166072757,0.003689445,0.209018429,0.237396377
A0A2R8YDQ0,ENSG00000284946,-0.089214294,0.133557017,0.00781341,-0.191435503,0.269634225,0.457869503,0.851291987,0.147667043
A0A2R8YF49,ENSG00000284933,1.867911239,-0.23343014,-0.44067953,-0.320689256,0.003554176,0.67507483,0.473972599,0.463829582
A0A2R8YCV2,ENSG00000284773,-1.10851539,-0.194551115,-0.463425721,-0.446557755,0.002729212,0.286857712,0.090515307,0.089593846
A0A2R8Y5Q8,ENSG00000284770,-0.248509204,0.05316568,0.059031671,0.014270081,0.00964675,0.829854209,0.764684097,0.895089676
O43819,ENSG00000284194,0.385916389,-0.343049483,-0.716949342,-0.112129657,0.000471147,0.013543543,0.007274937,0.216821526
A0A1W2PRB8,ENSG00000284057,0.349547141,0.429648561,0.23380627,-0.33741651,0.16164952,0.235133623,0.281651437,0.093700949
A0A1W2PP11,ENSG00000283765,0.574719232,-0.124305318,-0.289366591,-0.012424803,0.003904159,0.432999437,0.403286702,0.862215689
A0A1W2PQ13,ENSG00000283761,-0.952462636,0.133625514,-0.079004483,-0.413857935,0.005955006,0.675898028,0.496457178,0.092056681
A8MXP9,ENSG00000280987,0.826550279,-0.092526762,0.07277166,0.277229135,0.000499116,0.746510326,0.517888501,0.101360385
J3QL06,ENSG00000280682,-1.279516459,-0.172607571,-0.96958676,-0.07877468,0.002136644,0.638845806,0.039135764,0.96015787
C9JAW5,ENSG00000280571,-0.49283676,1.315051634,0.977967662,0.939383344,0.30710383,0.097841248,0.413139664,0.275499852
Q8N6Y1,ENSG00000280165,-2.88329161,0.003783871,-0.675917185,-1.289320364,0.014939451,0.838146296,0.212598495,0.097102848
A0A087X2D5,ENSG00000278845,1.008410136,0.004947567,0.095417763,0.260028365,0.000277223,0.864597562,0.430491424,0.09371913
E9PRG8,ENSG00000278615,-0.152193652,-0.347371456,-0.204207661,-0.078210158,0.560415346,0.348913423,0.556626732,0.777911185
Q6UWP2,ENSG00000278535,1.547615515,-0.50131178,-0.409309222,-0.477467869,0.000450589,0.286524006,0.41750152,0.250784813
Q9H3C7,ENSG00000278311,-0.264882977,0.279015448,0.268753521,0.069822493,0.012644681,0.236001778,0.228822635,0.738783913
Q96H55,ENSG00000278259,0.389154585,-0.190629856,0.077960732,-0.226943948,0.06739293,0.470466514,0.486330986,0.462975291
P0C7P0,ENSG00000277972,0.153761617,-0.284828441,-0.347366485,-0.142336327,0.234981544,0.498844146,0.24403463,0.655505056
A0A087X0R7,ENSG00000277957,1.207470527,-0.132327636,0.173359669,0.363331631,0.000240378,0.751829919,0.247340837,0.077543029
P49720,ENSG00000277791,-0.517433051,0.366095563,0.324468501,0.084170612,0.003123802,0.108036829,0.118854765,0.600567292
A0A0G2JRQ5,ENSG00000277656,-3.015209703,0.120237337,-3.281687623,0.014840913,0.000342344,0.292108186,0.004861048,0.841565258
Q9Y2R4,ENSG00000277594,1.552925575,0.153328328,0.273786404,0.710583601,5.78E-05,0.269018591,0.118557508,0.041462856
