Ensembl_ID,Protein_Accession,Gene,Gene_Description,K198R_S,K198R_M,R47G,D156E,pval_K198Rs,pval_K198Rm,pval_R47G,pval_D156E
ENSG00000175899,P01023,A2M,alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7],-2.123,1.094,0.447,-0.937,3.25E-03,7.96E-03,1.38E-01,5.64E-02
ENSG00000094914,Q9NRG9,AAAS,aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666],0.877,-0.145,0.115,0.218,4.72E-04,6.08E-01,3.65E-01,1.44E-01
ENSG00000081760,Q86V21,AACS,acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298],0.122,0.439,0.215,-0.177,3.26E-01,9.75E-03,9.64E-02,1.04E-01
ENSG00000103591,Q6PD74,AAGAB,alpha and gamma adaptin binding protein [Source:HGNC Symbol;Acc:HGNC:25662],0.837,0.254,0.148,-0.007,3.05E-05,1.11E-02,2.31E-01,8.89E-01
ENSG00000115977,Q2M2I8,AAK1,AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679],-0.809,-0.829,0.443,-0.537,9.73E-02,1.89E-01,4.30E-01,2.44E-01
ENSG00000115977,A0A096LP25,AAK1,AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679],-1.525,-0.137,-0.079,-0.057,1.90E-04,1.76E-01,4.08E-01,4.74E-01
ENSG00000087884,E9PNP3,AAMDC,adipogenesis associated Mth938 domain containing [Source:HGNC Symbol;Acc:HGNC:30205],0.192,-0.332,-0.378,-0.669,5.74E-02,3.75E-03,4.40E-02,7.09E-03
ENSG00000127837,C9JG97,AAMP,angio associated migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18],0.579,-0.198,-0.308,-0.047,7.54E-03,3.42E-01,1.63E-01,9.95E-01
ENSG00000131043,Q9Y312,AAR2,AAR2 splicing factor [Source:HGNC Symbol;Acc:HGNC:15886],1.311,0.125,0.226,0.334,1.23E-04,4.03E-01,2.12E-01,1.05E-01
ENSG00000090861,A0A6Q8PGN5,AARS1,alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20],-0.332,0.670,0.041,0.007,6.65E-03,1.56E-03,8.08E-01,8.58E-01
