Ensembl_ID,Protein_Accession,Gene,Gene_Description,K198R_S,K198R_M,R47G,D156E,pval_K198Rs,pval_K198Rm,pval_R47G,pval_D156E
ENSG00000000003,O43657,TSPAN6,tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858],0.321101036,0.546292732,-0.043643929,-0.127504119,0.038850723,0.015116948,0.69312122,0.278762611
ENSG00000000419,H0Y368,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]",-0.315607385,-0.129016328,0.045114451,-0.095510261,0.00119951,0.078877573,0.659301538,0.09071421
ENSG00000000457,X6RHX1,SCYL3,SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285],-0.480066162,0.543168865,0.462481088,0.19177146,0.009287994,0.06294891,0.113561768,0.419302468
ENSG00000001036,Q9BTY2,FUCA2,alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008],1.274890536,0.263171472,0.364629717,-0.087222166,0.001899771,0.637148171,0.408048243,0.553222855
ENSG00000001084,P48506,GCLC,glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311],1.501716144,-0.464079568,-0.477870848,-0.527419859,9.27E-05,0.092862551,0.095886552,0.08470577
ENSG00000001167,P23511,NFYA,nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804],0.443090197,-0.35144303,-0.403130707,-0.051411549,0.005047433,0.036820501,0.037387904,0.361213568
ENSG00000001497,Q9Y4W2,LAS1L,LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726],1.108943921,-0.21521358,-0.171880799,0.193838487,0.000975819,0.060991197,0.151847782,0.121655488
ENSG00000001561,Q9Y6X5,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359],3.592043688,-0.389069548,1.728124078,-0.162989409,0.000262465,0.171603041,0.00293452,0.248884302
ENSG00000001629,Q9P2G1,ANKIB1,ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215],-0.954207528,-0.113362601,-0.037934566,-0.519989572,0.003091857,0.398837037,0.645241797,0.062001839
ENSG00000001630,Q16850,CYP51A1,cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649],-0.507641374,-0.1590058,0.19411446,0.154208542,0.003423627,0.254974453,0.064670821,0.088735335
ENSG00000001631,O00522,KRIT1,KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573],0.285551146,0.503858952,0.197164144,0.049235725,0.15422408,0.022549774,0.382473438,0.751191614
ENSG00000002549,P28838,LAP3,leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449],-0.788420313,0.189733544,-0.299938009,-0.094378723,1.19E-05,0.081391755,7.14E-05,0.056372199
ENSG00000002586,A0A096LP69,CD99,CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082],2.682464866,1.234933003,-0.165438658,-0.139067378,0.009728527,0.001018773,0.496427026,0.409496923
